,,,,,,,,,,
,BTC.USD,ETH.USD,LTC.USD,XRP.USD,ADA.USD,TSLA,AAPL,AMZN,MSFT,PG
BTC.USD,1,0.868600423,0.892835791,0.8306299,0.845657653,0.706798841,0.456938403,0.50268298,0.691817911,0.30522914
ETH.USD,0.868600423,1,0.716778706,0.838055159,0.859407033,0.778431695,0.673491185,0.358725283,0.888629172,0.541024783
LTC.USD,0.892835791,0.716778706,1,0.84721013,0.781246117,0.45947763,0.194639436,0.543627579,0.443491148,0.084171304
XRP.USD,0.8306299,0.838055159,0.84721013,1,0.869875846,0.537991679,0.373631704,0.488598643,0.626755744,0.28377323
ADA.USD,0.845657653,0.859407033,0.781246117,0.869875846,1,0.563754007,0.371220589,0.535891148,0.685331744,0.244608516
TSLA,0.706798841,0.778431695,0.45947763,0.537991679,0.563754007,1,0.787036014,0.332884037,0.791352934,0.559579588
AAPL,0.456938403,0.673491185,0.194639436,0.373631704,0.371220589,0.787036014,1,-0.055371096,0.856527498,0.802554225
AMZN,0.50268298,0.358725283,0.543627579,0.488598643,0.535891148,0.332884037,-0.055371096,1,0.216886316,-0.045611275
MSFT,0.691817911,0.888629172,0.443491148,0.626755744,0.685331744,0.791352934,0.856527498,0.216886316,1,0.71678441
PG,0.30522914,0.541024783,0.084171304,0.28377323,0.244608516,0.559579588,0.802554225,-0.045611275,0.71678441,1
,,,,,,,,,,
